machine_id,time_stamp,cpu_util,memory_util,megps,mkpi,in_net,out_net,disk_io
2079,200440,52.0,85,-1.11,-1.11,36.22,25.4,9
2079,200470,48.0,85,-1.11,-1.11,36.22,25.4,10
2079,200570,40.0,87,-1.11,-1.11,36.22,25.4,8
2079,200740,37.0,81,-1.11,-1.11,36.23,25.4,13
2079,200880,42.0,79,-1.11,-1.11,36.23,25.4,21
2079,200900,46.0,81,-1.11,-1.11,36.23,25.4,21
2079,200940,39.0,80,-1.11,-1.11,36.23,25.4,31
2079,201030,47.0,80,-1.11,-1.11,36.23,25.41,36
2079,201320,39.0,80,-1.11,-1.11,36.24,25.41,11
2079,201440,52.0,83,-1.11,-1.11,36.24,25.41,3
2079,201830,51.0,82,-1.11,-1.11,36.25,25.42,5
2079,201890,42.0,79,-1.11,-1.11,36.25,25.42,2
2079,201930,43.0,79,-1.11,-1.11,36.25,25.42,11
2079,202060,50.0,80,-1.11,-1.11,36.25,25.42,7
2079,202130,36.0,80,-1.11,-1.11,36.25,25.42,5
2079,202150,42.0,80,-1.11,-1.11,36.25,25.42,16
2079,202240,37.0,80,-1.11,-1.11,36.25,25.42,16
2079,202310,41.0,80,-1.11,-1.11,36.26,25.42,9
2079,202420,45.0,77,-1.11,-1.11,36.26,25.42,5
2079,202560,40.0,79,-1.11,-1.11,36.26,25.43,7
2079,202770,55.0,86,-1.11,-1.11,36.26,25.43,6
2079,202870,46.0,88,-1.11,-1.11,36.27,25.43,8
2079,202880,42.0,87,-1.11,-1.11,36.27,25.43,8
2079,202930,49.0,90,-1.11,-1.11,36.27,25.43,4
2079,202990,50.0,89,-1.11,-1.11,36.27,25.43,4
2079,203040,43.0,87,-1.11,-1.11,36.27,25.43,5
2079,203070,44.0,86,-1.11,-1.11,36.27,25.43,5
2079,203110,41.0,84,-1.11,-1.11,36.27,25.43,10
2079,203260,43.0,83,-1.11,-1.11,36.27,25.44,14
2079,203430,59.0,86,-1.11,-1.11,36.28,25.44,14
2079,203470,45.0,86,-1.11,-1.11,36.28,25.44,18
2079,203520,40.0,85,-1.11,-1.11,36.28,25.44,13
2079,203530,40.0,84,-1.11,-1.11,36.28,25.44,13
2079,203590,47.0,85,-1.11,-1.11,36.28,25.44,16
2079,203700,46.0,87,-1.11,-1.11,36.28,25.44,10
2079,203760,52.0,87,-1.11,-1.11,36.29,25.44,6
2079,203780,47.0,87,-1.11,-1.11,36.29,25.44,6
2079,203810,46.0,86,-1.11,-1.11,36.29,25.44,6
2079,203880,38.0,85,-1.11,-1.11,36.29,25.45,9
2079,204110,58.0,89,-1.11,-1.11,36.3,25.45,13
2079,204170,59.0,89,-1.11,-1.11,36.3,25.45,12
2079,204310,49.0,89,-1.11,-1.11,36.3,25.45,18
2079,204440,56.0,86,-1.11,-1.11,36.3,25.45,15
2079,204520,46.0,83,-1.11,-1.11,36.3,25.45,13
2079,204550,43.0,82,-1.11,-1.11,36.3,25.46,10
2079,204600,41.0,83,-1.11,-1.11,36.3,25.46,11
2079,204640,47.0,83,-1.11,-1.11,36.31,25.46,11
2079,204690,33.0,82,-1.11,-1.11,36.31,25.46,15
2079,204770,36.0,85,-1.11,-1.11,36.31,25.46,14
2079,204980,57.0,86,-1.11,-1.11,36.31,25.46,5
2079,204990,36.0,86,-1.11,-1.11,36.31,25.46,5
2079,205160,61.0,89,-1.11,-1.11,36.31,25.46,4
2079,205240,60.0,90,-1.11,-1.11,36.31,25.46,6
2079,205260,60.0,90,-1.11,-1.11,36.31,25.47,11
2079,205300,54.0,87,-1.11,-1.11,36.32,25.47,11
